specimenID       plantName        Age(Generation)  totalHeight (cm) totalWidth (cm)  stemNumbers     
158              -287.82          304.07           74.41            3.14            
159              -287.82          304.07           74.41            2.36            
160              -263.29          363.29           74.41            3.14            
161              -263.29          363.29           74.41            2.36            
162              -263.29          363.29           74.41            1.57            
163              -204.07          387.82           74.41            2.36            
164              -204.07          387.82           74.41            1.57            
165              -204.07          387.82           74.41            0.79            
166              -198.58          390.10           74.41            3.14            
167              -198.58          390.10           74.41            2.36            
168              -198.58          390.10           74.41            1.57            
169              -139.36          414.62           74.41            2.36            
170              -139.36          414.62           74.41            1.57            
171              -139.36          414.62           74.41            0.79            
172              -80.14           390.10           74.41            1.57            
173              -80.14           390.10           74.41            0.79            
174              -80.14           390.10           74.41            0.00            
175              -219.17          332.51           74.41            3.93            
176              -219.17          332.51           74.41            3.14            
177              -219.17          332.51           74.41            2.36            
178              -194.64          391.73           74.41            3.14            
179              -194.64          391.73           74.41            2.36            
180              -194.64          391.73           74.41            1.57            
181              -135.42          416.26           74.41            2.36            
182              -135.42          416.26           74.41            1.57            
183              -135.42          416.26           74.41            0.79            
184              -129.93          418.53           74.41            3.14            
185              -129.93          418.53           74.41            2.36            
186              -129.93          418.53           74.41            1.57            
187              -70.71           443.06           74.41            2.36            
188              -70.71           443.06           74.41            1.57            
189              -70.71           443.06           74.41            0.79            
190              -11.49           418.53           74.41            1.57            
191              -11.49           418.53           74.41            0.79            
192              -11.49           418.53           74.41            0.00            
193              -6.00            416.26           74.41            2.36            
194              -6.00            416.26           74.41            1.57            
195              -6.00            416.26           74.41            0.79            
196              53.22            391.73           74.41            1.57            
197              53.22            391.73           74.41            0.79            
198              53.22            391.73           74.41            0.00            
199              77.75            332.51           74.41            0.79            
200              77.75            332.51           74.41            0.00            
201              77.75            332.51           74.41            -0.79           
202              -219.38          209.43           74.41            4.71            
203              -219.38          209.43           74.41            3.93            
204              -219.38          209.43           74.41            3.14            
205              -243.91          268.65           74.41            3.93            
206              -243.91          268.65           74.41            3.14            
207              -243.91          268.65           74.41            2.36            
208              -219.38          327.87           74.41            3.14            
209              -219.38          327.87           74.41            2.36            
210              -219.38          327.87           74.41            1.57            
211              -217.11          333.36           74.41            3.93            
212              -217.11          333.36           74.41            3.14            
213              -217.11          333.36           74.41            2.36            
214              -192.58          392.58           74.41            3.14            
215              -192.58          392.58           74.41            2.36            
216              -192.58          392.58           74.41            1.57            
217              -133.36          417.11           74.41            2.36            
218              -133.36          417.11           74.41            1.57            
219              -133.36          417.11           74.41            0.79            
220              -127.87          419.38           74.41            3.14            
221              -127.87          419.38           74.41            2.36            
222              -127.87          419.38           74.41            1.57            
223              -68.65           443.91           74.41            2.36            
224              -68.65           443.91           74.41            1.57            
225              -68.65           443.91           74.41            0.79            
226              -9.43            419.38           74.41            1.57            
227              -9.43            419.38           74.41            0.79            
228              -9.43            419.38           74.41            0.00            
229              -148.46          361.80           74.41            3.93            
230              -148.46          361.80           74.41            3.14            
231              -148.46          361.80           74.41            2.36            
232              -123.93          421.02           74.41            3.14            
233              -123.93          421.02           74.41            2.36            
234              -123.93          421.02           74.41            1.57            
235              -64.71           445.55           74.41            2.36            
236              -64.71           445.55           74.41            1.57            
237              -64.71           445.55           74.41            0.79            
238              -59.22           447.82           74.41            3.14            
239              -59.22           447.82           74.41            2.36            
240              -59.22           447.82           74.41            1.57            
241              0.00             472.35           74.41            2.36            
242              0.00             472.35           74.41            1.57            
243              0.00             472.35           74.41            0.79            
244              59.22            447.82           74.41            1.57            
245              59.22            447.82           74.41            0.79            
246              59.22            447.82           74.41            0.00            
247              64.71            445.55           74.41            2.36            
248              64.71            445.55           74.41            1.57            
249              64.71            445.55           74.41            0.79            
250              123.93           421.02           74.41            1.57            
251              123.93           421.02           74.41            0.79            
252              123.93           421.02           74.41            0.00            
253              148.46           361.80           74.41            0.79            
254              148.46           361.80           74.41            0.00            
255              148.46           361.80           74.41            -0.79           
256              9.43             419.38           74.41            3.14            
257              9.43             419.38           74.41            2.36            
258              9.43             419.38           74.41            1.57            
259              68.65            443.91           74.41            2.36            
260              68.65            443.91           74.41            1.57            
261              68.65            443.91           74.41            0.79            
262              127.87           419.38           74.41            1.57            
263              127.87           419.38           74.41            0.79            
264              127.87           419.38           74.41            0.00            
265              133.36           417.11           74.41            2.36            
266              133.36           417.11           74.41            1.57            
267              133.36           417.11           74.41            0.79            
268              192.58           392.58           74.41            1.57            
269              192.58           392.58           74.41            0.79            
270              192.58           392.58           74.41            0.00            
271              217.11           333.36           74.41            0.79            
272              217.11           333.36           74.41            0.00            
273              217.11           333.36           74.41            -0.79           
274              219.38           327.87           74.41            1.57            
275              219.38           327.87           74.41            0.79            
276              219.38           327.87           74.41            0.00            
277              243.91           268.65           74.41            0.79            
278              243.91           268.65           74.41            0.00            
279              243.91           268.65           74.41            -0.79           
280              219.38           209.43           74.41            0.00            
281              219.38           209.43           74.41            -0.79           
282              219.38           209.43           74.41            -1.57           
283              -77.75           332.51           74.41            3.93            
284              -77.75           332.51           74.41            3.14            
285              -77.75           332.51           74.41            2.36            
286              -53.22           391.73           74.41            3.14            
287              -53.22           391.73           74.41            2.36            
288              -53.22           391.73           74.41            1.57            
289              6.00             416.26           74.41            2.36            
290              6.00             416.26           74.41            1.57            
291              6.00             416.26           74.41            0.79            
292              11.49            418.53           74.41            3.14            
293              11.49            418.53           74.41            2.36            
294              11.49            418.53           74.41            1.57            
295              70.71            443.06           74.41            2.36            
296              70.71            443.06           74.41            1.57            
297              70.71            443.06           74.41            0.79            
298              129.93           418.53           74.41            1.57            
