stemID           locationX        locationY        length           radians         
248125           -100.45          205.08           24.23            3.35            
248126           -156.79          233.79           24.23            5.13            
248127           -156.79          233.79           24.23            3.77            
248128           -156.79          233.79           24.23            3.35            
248129           -156.79          233.79           24.23            1.99            
248130           -161.13          254.22           24.23            4.71            
248131           -161.13          254.22           24.23            3.35            
248132           -161.13          254.22           24.23            2.93            
248133           -161.13          254.22           24.23            1.57            
248134           -121.34          303.36           24.23            3.35            
248135           -121.34          303.36           24.23            1.99            
248136           -121.34          303.36           24.23            1.57            
248137           -121.34          303.36           24.23            0.21            
248138           -107.19          331.14           24.23            5.13            
248139           -107.19          331.14           24.23            3.77            
248140           -107.19          331.14           24.23            3.35            
248141           -107.19          331.14           24.23            1.99            
248142           -90.82           392.21           24.23            3.77            
248143           -90.82           392.21           24.23            2.41            
248144           -90.82           392.21           24.23            1.99            
248145           -90.82           392.21           24.23            0.63            
248146           -71.74           400.71           24.23            3.35            
248147           -71.74           400.71           24.23            1.99            
248148           -71.74           400.71           24.23            1.57            
248149           -71.74           400.71           24.23            0.21            
248150           -15.40           372.00           24.23            1.99            
248151           -15.40           372.00           24.23            0.63            
248152           -15.40           372.00           24.23            0.21            
248153           -15.40           372.00           24.23            -1.15           
248154           -76.22           359.07           24.23            4.71            
248155           -76.22           359.07           24.23            3.35            
248156           -76.22           359.07           24.23            2.93            
248157           -76.22           359.07           24.23            1.57            
248158           -36.43           408.21           24.23            3.35            
248159           -36.43           408.21           24.23            1.99            
248160           -36.43           408.21           24.23            1.57            
248161           -36.43           408.21           24.23            0.21            
248162           -15.54           408.21           24.23            2.93            
248163           -15.54           408.21           24.23            1.57            
248164           -15.54           408.21           24.23            1.15            
248165           -15.54           408.21           24.23            -0.21           
248166           24.25            359.07           24.23            1.57            
248167           24.25            359.07           24.23            0.21            
248168           24.25            359.07           24.23            -0.21           
248169           24.25            359.07           24.23            -1.57           
248170           48.48            339.45           24.23            3.35            
248171           48.48            339.45           24.23            1.99            
248172           48.48            339.45           24.23            1.57            
248173           48.48            339.45           24.23            0.21            
248174           104.81           310.75           24.23            1.99            
248175           104.81           310.75           24.23            0.63            
248176           104.81           310.75           24.23            0.21            
248177           104.81           310.75           24.23            -1.15           
248178           109.15           290.32           24.23            1.57            
248179           109.15           290.32           24.23            0.21            
248180           109.15           290.32           24.23            -0.21           
248181           109.15           290.32           24.23            -1.57           
248182           69.36            241.18           24.23            0.21            
248183           69.36            241.18           24.23            -1.15           
248184           69.36            241.18           24.23            -1.57           
248185           69.36            241.18           24.23            -2.93           
248186           -69.36           241.18           24.23            6.07            
248187           -69.36           241.18           24.23            4.71            
248188           -69.36           241.18           24.23            4.29            
248189           -69.36           241.18           24.23            2.93            
248190           -109.15          290.32           24.23            4.71            
248191           -109.15          290.32           24.23            3.35            
248192           -109.15          290.32           24.23            2.93            
248193           -109.15          290.32           24.23            1.57            
248194           -104.81          310.75           24.23            4.29            
248195           -104.81          310.75           24.23            2.93            
248196           -104.81          310.75           24.23            2.51            
248197           -104.81          310.75           24.23            1.15            
248198           -48.48           339.45           24.23            2.93            
248199           -48.48           339.45           24.23            1.57            
248200           -48.48           339.45           24.23            1.15            
248201           -48.48           339.45           24.23            -0.21           
248202           -24.25           359.07           24.23            4.71            
248203           -24.25           359.07           24.23            3.35            
248204           -24.25           359.07           24.23            2.93            
248205           -24.25           359.07           24.23            1.57            
248206           15.54            408.21           24.23            3.35            
248207           15.54            408.21           24.23            1.99            
248208           15.54            408.21           24.23            1.57            
248209           15.54            408.21           24.23            0.21            
248210           36.43            408.21           24.23            2.93            
248211           36.43            408.21           24.23            1.57            
248212           36.43            408.21           24.23            1.15            
248213           36.43            408.21           24.23            -0.21           
248214           76.22            359.07           24.23            1.57            
248215           76.22            359.07           24.23            0.21            
248216           76.22            359.07           24.23            -0.21           
248217           76.22            359.07           24.23            -1.57           
248218           15.40            372.00           24.23            4.29            
248219           15.40            372.00           24.23            2.93            
248220           15.40            372.00           24.23            2.51            
248221           15.40            372.00           24.23            1.15            
248222           71.74            400.71           24.23            2.93            
248223           71.74            400.71           24.23            1.57            
248224           71.74            400.71           24.23            1.15            
248225           71.74            400.71           24.23            -0.21           
248226           90.82            392.21           24.23            2.51            
248227           90.82            392.21           24.23            1.15            
248228           90.82            392.21           24.23            0.73            
248229           90.82            392.21           24.23            -0.63           
248230           107.19           331.14           24.23            1.15            
248231           107.19           331.14           24.23            -0.21           
248232           107.19           331.14           24.23            -0.63           
248233           107.19           331.14           24.23            -1.99           
248234           121.34           303.36           24.23            2.93            
248235           121.34           303.36           24.23            1.57            
248236           121.34           303.36           24.23            1.15            
248237           121.34           303.36           24.23            -0.21           
248238           161.13           254.22           24.23            1.57            
248239           161.13           254.22           24.23            0.21            
248240           161.13           254.22           24.23            -0.21           
248241           161.13           254.22           24.23            -1.57           
248242           156.79           233.79           24.23            1.15            
248243           156.79           233.79           24.23            -0.21           
248244           156.79           233.79           24.23            -0.63           
248245           156.79           233.79           24.23            -1.99           
248246           100.45           205.08           24.23            -0.21           
248247           100.45           205.08           24.23            -1.57           
248248           100.45           205.08           24.23            -1.99           
248249           100.45           205.08           24.23            -3.35           
248250           74.77            236.81           24.23            4.71            
248251           74.77            236.81           24.23            3.35            
248252           74.77            236.81           24.23            2.93            
248253           74.77            236.81           24.23            1.57            
248254           114.56           285.94           24.23            3.35            
248255           114.56           285.94           24.23            1.99            
248256           114.56           285.94           24.23            1.57            
248257           114.56           285.94           24.23            0.21            
248258           135.44           285.94           24.23            2.93            
248259           135.44           285.94           24.23            1.57            
248260           135.44           285.94           24.23            1.15            
248261           135.44           285.94           24.23            -0.21           
248262           175.23           236.81           24.23            1.57            
248263           175.23           236.81           24.23            0.21            
248264           175.23           236.81           24.23            -0.21           
248265           175.23           236.81           24.23            -1.57           
248266           199.46           217.18           24.23            3.35            
248267           199.46           217.18           24.23            1.99            
248268           199.46           217.18           24.23            1.57            
248269           199.46           217.18           24.23            0.21            
248270           255.80           188.48           24.23            1.99            
248271           255.80           188.48           24.23            0.63            
248272           255.80           188.48           24.23            0.21            
248273           255.80           188.48           24.23            -1.15           
248274           260.14           168.05           24.23            1.57            
248275           260.14           168.05           24.23            0.21            
248276           260.14           168.05           24.23            -0.21           
248277           260.14           168.05           24.23            -1.57           
248278           220.35           118.91           24.23            0.21            
248279           220.35           118.91           24.23            -1.15           
248280           220.35           118.91           24.23            -1.57           
248281           220.35           118.91           24.23            -2.93           
248282           220.35           181.09           24.23            2.93            
248283           220.35           181.09           24.23            1.57            
248284           220.35           181.09           24.23            1.15            
248285           220.35           181.09           24.23            -0.21           
248286           260.14           131.95           24.23            1.57            
248287           260.14           131.95           24.23            0.21            
248288           260.14           131.95           24.23            -0.21           
248289           260.14           131.95           24.23            -1.57           
248290           255.80           111.52           24.23            1.15            
248291           255.80           111.52           24.23            -0.21           
248292           255.80           111.52           24.23            -0.63           
248293           255.80           111.52           24.23            -1.99           
248294           199.46           82.82            24.23            -0.21           
248295           199.46           82.82            24.23            -1.57           
248296           199.46           82.82            24.23            -1.99           
248297           199.46           82.82            24.23            -3.35           
248298           175.23           63.19            24.23            1.57            
248299           175.23           63.19            24.23            0.21            
248300           175.23           63.19            24.23            -0.21           
248301           175.23           63.19            24.23            -1.57           
