stemID           locationX        locationY        length           radians         
21999            -220.44          299.11           69.89            3.49            
22000            -220.44          299.11           69.89            2.44            
22001            -220.44          299.11           69.89            2.62            
22002            -164.68          365.57           69.89            2.27            
22003            -164.68          365.57           69.89            2.44            
22004            -164.68          365.57           69.89            1.40            
22005            -164.68          365.57           69.89            1.57            
22006            -178.38          359.17           69.89            2.44            
22007            -178.38          359.17           69.89            2.62            
22008            -178.38          359.17           69.89            1.57            
22009            -178.38          359.17           69.89            1.75            
22010            -230.65          284.54           69.89            3.32            
22011            -230.65          284.54           69.89            3.49            
22012            -230.65          284.54           69.89            2.44            
22013            -230.65          284.54           69.89            2.62            
22014            -231.96          269.47           69.89            3.49            
22015            -231.96          269.47           69.89            3.67            
22016            -231.96          269.47           69.89            2.62            
22017            -231.96          269.47           69.89            2.79            
22018            -188.59          344.61           69.89            2.44            
22019            -188.59          344.61           69.89            2.62            
22020            -188.59          344.61           69.89            1.57            
22021            -188.59          344.61           69.89            1.75            
22022            -200.97          335.93           69.89            2.62            
22023            -200.97          335.93           69.89            2.79            
22024            -200.97          335.93           69.89            1.75            
22025            -200.97          335.93           69.89            1.92            
22026            -86.52           402.01           69.89            2.27            
22027            -86.52           402.01           69.89            2.44            
22028            -86.52           402.01           69.89            1.40            
22029            -86.52           402.01           69.89            1.57            
22030            -100.22          395.62           69.89            2.44            
22031            -100.22          395.62           69.89            2.62            
22032            -100.22          395.62           69.89            1.57            
22033            -100.22          395.62           69.89            1.75            
22034            -13.46           395.62           69.89            1.40            
22035            -13.46           395.62           69.89            1.57            
22036            -13.46           395.62           69.89            0.52            
22037            -13.46           395.62           69.89            0.70            
22038            -27.17           402.01           69.89            1.57            
22039            -27.17           402.01           69.89            1.75            
22040            -27.17           402.01           69.89            0.70            
22041            -27.17           402.01           69.89            0.87            
22042            -117.94          394.07           69.89            2.44            
22043            -117.94          394.07           69.89            2.62            
22044            -117.94          394.07           69.89            1.57            
22045            -117.94          394.07           69.89            1.75            
